c	cytosol
p	periplasm
e	extracellular space
m	mitochondria
n	nucleus
r	endoplasmic reticulum
x	peroxisome/glyoxysome
l	lysosome
g	golgi apparatus
f	flagellum
s	eyespot
h	chloroplast
u	thylakoid
v	vacuole
im	intermembrane space of mitochondria
cx	carboxyzome
um	thylakoid membrane
cm	cytosolic membrane
